Model,Optimizer,Learning Rate,Epochs,Total Params,Trainable Params,TP Percentage
VGG16,SGD,0.001,121,16846915,4491267,26.66
VGG19,SGD,0.001,81,22156611,6851075,30.92
ResNet50,SGD,0.001,75,32011395,9477635,29.61
ResNet101,SGD,0.001,53,51081859,16304131,31.92
ResNet152,SGD,0.001,59,66794627,20512259,30.71
Xception,ADAM,0.001,51,29285163,8427011,28.78
InceptionV3,ADAM,0.001,62,23935011,7287491,30.45
InceptionResNetV2,ADAM,0.001,68,55944675,12413027,22.19
MobileNet,RMSprop,0.001,73,7458243,4230659,56.72
MobileNetV2,RMSprop,0.001,67,7535939,5277187,70.03
DenseNet121,ADAM,0.001,80,11266883,4267523,37.88
DenseNet169,ADAM,0.001,38,19493699,6890243,35.35
DenseNet201,ADAM,0.001,61,26221379,8185027,31.22
NASNetMobile,ADAM,0.001,43,8630167,4359683,50.52
EfficientNetB0,ADAM,0.001,67,9327526,5279747,56.60
EfficientNetB1,ADAM,0.001,57,11853194,5689347,48.00
EfficientNetB2,ADAM,0.001,46,13570812,7417947,54.66
,,,,,,
,,,,,,
MosQNetSA,ADAM,0.001,81,388349,384155,98.92