Model,Training Loss,Validation Loss,Test Loss,Train Accuracy,Validation Accuracy,Test Accuracy
VGG16,0.12,0.16,0.2,95.88%,93.62%,93.37%
VGG19,0.25,0.30,0.3,91.21%,88.70%,88.76%
ResNet50,0.15,0.21,0.2,95.01%,91.01%,91.64%
ResNet101,0.20,0.24,0.3,92.95%,90.14%,89.34%
ResNet152,0.20,0.26,0.3,93.38%,90.14%,90.49%
Xception,0.05,0.17,0.22,98.12%,92.46%,93.37%
InceptionV3,0.02,0.16,0.23,99.28%,95.07%,94.81%
InceptionResNetV2,0.0075,0.1121,0.053,99.71%,97.10%,98.56%
MobileNet,0.01,0.10,0.15,99.78%,97.10%,97.12%
MobileNetV2,0.0336,0.1721,0.1191,98.92%,94.49%,97.41%
DenseNet121,0.01,0.0667,0.0845,99.78%,97.68%,97.69%
DenseNet169,0.0359,0.1065,0.0589,98.77%,96.23%,97.98%
DenseNet201,0.0015,0.0574,0.0349,99.96%,98.84%,99.14%
NASNetMobile,0.1102,0.2317,0.2037,95.84%,92.17%,93.95%
EfficientNetB0,0.0065,0.0613,0.077,99.78%,97.10%,97.41%
EfficientNetB1,0.0026,0.0722,0.0838,100.00%,98.55%,97.41%
EfficientNetB2,0.0069,0.0811,0.0732,99.89%,98.26%,97.69%
,,,,,,
,,,,,,
MosQNetSA,0.0189,0.0783,0.0401,99.78%,98.26%,99.42%